capture_utc,http_status,bytes,sha256,consolidation_utc,last_modified,etag,elapsed_s,archived_path,erreur
2026-09-17T21:59:59.999844+00:00,200,8937226,03dacafca1282b951e30ede4682c418558befe391552ff32ff16799ffe7bfc9e,2026-09-17T22:00:00.515719Z,,,0.52,data/raw/dynamique/2026-09-17/215959.csv.gz,
2026-09-17T22:04:59.998147+00:00,200,8937283,f07c6e1fe6c080cf879d359fa0a1c018fea40c70a2ec669866acb26fc9113775,2026-09-17T22:05:00.495041Z,,,0.51,data/raw/dynamique/2026-09-17/220459.csv.gz,
2026-09-17T22:10:00.007674+00:00,200,8937456,17d671f6087b4f1aed4ed5f1f5c93eeaac3458df5222cb833a37b1256b801b13,2026-09-17T22:10:00.535516Z,,,0.51,data/raw/dynamique/2026-09-17/221000.csv.gz,
2026-09-17T22:15:00.000428+00:00,200,8937247,e799932bb5576dafac1ea9ce1f904849f9ebcfa7675c3d7a549ddd209728e834,2026-09-17T22:15:00.528031Z,,,0.53,data/raw/dynamique/2026-09-17/221500.csv.gz,
2026-09-17T22:20:00.004291+00:00,200,8937278,470de4210858a5af8f184fb1dcae5ca31ffbccdccf411946bd682c0a69fdbb60,2026-09-17T22:20:00.551269Z,,,0.61,data/raw/dynamique/2026-09-17/222000.csv.gz,
2026-09-17T22:24:59.994975+00:00,200,8937243,9fa3f8c7080ab9d91482f881458ceda8dd729559400d436d3af9e925679449f0,2026-09-17T22:25:00.512799Z,,,0.56,data/raw/dynamique/2026-09-17/222459.csv.gz,
2026-09-17T22:30:00.003383+00:00,200,8937308,947ecc96637ccd780a7315bce1a83887d469984cbcd0949dc7ff9beb3b470695,2026-09-17T22:30:00.593125Z,,,0.56,data/raw/dynamique/2026-09-17/223000.csv.gz,
2026-09-17T22:34:59.995298+00:00,200,8937284,be22976599c16d4270f3cd99cf384366689889f4c521552e00b50176201ec85b,2026-09-17T22:35:00.525789Z,,,0.53,data/raw/dynamique/2026-09-17/223459.csv.gz,
2026-09-17T22:39:59.999252+00:00,200,8937134,0fb37718b74ffc6f1464ed6940789cdb56c2e9f28502411d0b599f9150a728f1,2026-09-17T22:40:00.631711Z,,,0.60,data/raw/dynamique/2026-09-17/223959.csv.gz,
2026-09-17T22:45:00.047186+00:00,200,8937145,70274c8be0e2bb2ed274a550aafbb8e51a355e359f6388457ba1132d3cfa0a64,2026-09-17T22:45:00.593435Z,,,0.60,data/raw/dynamique/2026-09-17/224500.csv.gz,
